County,num_of_employed
江岸区,0.25
江汉区,0.36
硚口区,1.07
汉阳区,0.97
武昌区,0.59
青山区,4.48
洪山区,2.08
东西湖区,7.26
经开区,12.45
蔡甸区,3.65
江夏区,4.84
黄陂区,4.08
新洲区,3.63
东湖新技术开发区,16.78
黄石市区,10.22
大冶市,4.65
鄂州市,8.57
孝南区,1.8976
孝昌县,0.6628
云梦县,1.0947
汉川市,8.0108
黄州区,1.9
团风县,1.03
浠水县,1.08
咸安区,1.75
嘉鱼县,2.09
仙桃市,10.58
天门市,8.06
