County,num_of_employed
硚口区,420
江夏区,10985
大冶市,220
江岸区,8093
东西湖区,5356
经开区,48804
黄陂区,361
武昌区,1413
鄂州市,334
汉阳区,456
新洲区,335
洪山区,5909
孝南区,3271
蔡甸区,7454
仙桃市,1093
咸安区,1500
云梦县,191
青山区,117
黄石市区,341
江汉区,299
天门市,722
浠水县,431
黄州区,218
嘉鱼县,111
汉川市,12
孝昌县,0
团风县,5
total_num_of_employed,98451
