sheet1,sheet2,count
上海市,湖北省,16
云南省,湖北省,2
内蒙古自治区,湖北省,3
北京市,湖北省,24
吉林省,湖北省,2
四川省,湖北省,10
安徽省,湖北省,15
山东省,湖北省,2
山西省,湖北省,3
广东省,湖北省,38
广西壮族自治区,湖北省,8
新疆维吾尔自治区,湖北省,1
江苏省,湖北省,20
江西省,湖北省,3
河北省,湖北省,2
河南省,湖北省,5
浙江省,湖北省,12
海南省,湖北省,2
湖北省,湖北省,530
湖南省,湖北省,11
福建省,湖北省,3
贵州省,湖北省,9
辽宁省,湖北省,9
重庆市,湖北省,9
陕西省,湖北省,2
青海省,湖北省,1
